1, 01, 5347.5, Sophia, Russell, 4552
69, 09, 5296.5, Nora, Parker, 8645
70, 10, 5677.2, Nora, Parker, 8645
71, 11, 5862.7, Nora, Parker, 8645
72, 12, 5989.4, Nora, Parker, 8645
73, 01, 3347.5, Brandon, Harris, 2263
74, 02, 3491.2, Brandon, Harris, 2263
75, 03, 3666.7, Brandon, Harris, 2263
76, 04, 3215.4, Brandon, Harris, 2263
77, 05, 3352.6, Brandon, Harris, 2263
78, 06, 3579.8, Brandon, Harris, 2263
79, 07, 3042.9, Brandon, Harris, 2263
80, 08, 3829.1, Brandon, Harris, 2263
81, 09, 3096.5, Brandon, Harris, 2263
82, 10, 3477.2, Brandon, Harris, 2263
83, 11, 3662.7, Brandon, Harris, 2263
84, 12, 3789.4, Brandon, Harris, 2263
85, 01, 5112.5, Grace, Stewart, 4356
86, 02, 5257.2, Grace, Stewart, 4356
87, 03, 5432.7, Grace, Stewart, 4356
88, 04, 4985.4, Grace, Stewart, 4356
89, 05, 5122.6, Grace, Stewart, 4356
90, 06, 5349.8, Grace, Stewart, 4356
91, 07, 4822.9, Grace, Stewart, 4356
92, 08, 5599.1, Grace, Stewart, 4356
93, 09, 4766.5, Grace, Stewart, 4356
94, 10, 5247.2, Grace, Stewart, 4356
95, 11, 5432.7, Grace, Stewart, 4356
96, 12, 5559.4, Grace, Stewart, 4356
97, 01, 6234.5, Oscar, Stewart, 8160
98, 02, 6379.2, Oscar, Stewart, 8160
99, 03, 6554.7, Oscar, Stewart, 8160
100, 04, 6105.4, Oscar, Stewart, 8160
101, 05, 6242.6, Oscar, Stewart, 8160
102, 06, 6419.8, Oscar, Stewart, 8160
103, 07, 5892.9, Oscar, Stewart, 8160
104, 08, 6679.1, Oscar, Stewart, 8160
105, 09, 5846.5, Oscar, Stewart, 8160
106, 10, 6327.2, Oscar, Stewart, 8160
107, 11, 6512.7, Oscar, Stewart, 8160
108, 12, 6639.4, Oscar, Stewart, 8160
109, 01, 4387.5, Mila, Murphy, 5840
110, 02, 4532.2, Mila, Murphy, 5840
111, 03, 4707.7, Mila, Murphy, 5840
112, 04, 4258.4, Mila, Murphy, 5840
113, 05, 4395.6, Mila, Murphy, 5840
114, 06, 4622.8, Mila, Murphy, 5840
115, 07, 4095.9, Mila, Murphy, 5840
116, 08, 4872.1, Mila, Murphy, 5840
117, 09, 4039.5, Mila, Murphy, 5840
118, 10, 4520.2, Mila, Murphy, 5840
119, 11, 4705.7, Mila, Murphy, 5840
120, 12, 4832.4, Mila, Murphy, 5840
121, 01, 3647.5, Sofia, Baker, 7209
122, 02, 3791.2, Sofia, Baker, 7209
123, 03, 3966.7, Sofia, Baker, 7209
124, 04, 3515.4, Sofia, Baker, 7209
125, 05, 3652.6, Sofia, Baker, 7209
126, 06, 3879.8, Sofia, Baker, 7209
127, 07, 3352.9, Sofia, Baker, 7209
128, 08, 4129.1, Sofia, Baker, 7209
129, 09, 3296.5, Sofia, Baker, 7209
130, 10, 3777.2, Sofia, Baker, 7209
131, 11, 3962.7, Sofia, Baker, 7209
132, 12, 4089.4, Sofia, Baker, 7209
133, 01, 5023.5, Mary, Young, 1501
134, 02, 5168.2, Mary, Young, 1501
135, 03, 5343.7, Mary, Young, 1501
136, 04, 4895.4, Mary, Young, 1501
137, 05, 5032.6, Mary, Young, 1501
138, 06, 5259.8, Mary, Young, 1501
139, 07, 4732.9, Mary, Young, 1501
140, 08, 5509.1, Mary, Young, 1501
